playerName,roundsPerGame,playersPerTable,winsVOpTwoPlayer,winsV1/2PlayersPlayer,winsV1/12RandomPlayer,winsV1/3RandomPlayer,winsV1/6RandomPlayer,winsV1000PotPlayer,winsV14RollsPlayer,winsV200PotPlayer,winsV3DoublesPlayer,winsV7DoublesPlayer,winsV7RollsPlayer,winsVAdversarialLeader,winsVLastBankingPlayer,placementIn1,placementIn2,placementIn3,placementIn4,placementIn5,placementIn6,placementIn7,placementIn8,placementIn9,games_played
OpTwoPlayer,10,3,312,513,141,159,139,372,274,173,277,464,146,464,480,1163,1588,249,,,,,,,3000
LastBankingPlayer,10,3,480,452,143,149,126,377,249,207,290,461,131,466,326,1108,1641,251,,,,,,,3000
200PotPlayer,10,3,380,363,340,278,289,322,326,314,284,467,261,326,419,1818,733,449,,,,,,,3000
1000PotPlayer,10,3,432,487,182,197,170,326,235,228,307,409,172,414,452,1516,979,505,,,,,,,3000
7RollsPlayer,10,3,337,349,339,285,300,276,276,208,222,450,314,279,349,1604,776,620,,,,,,,3000
14RollsPlayer,10,3,384,427,200,210,197,313,326,178,276,450,179,322,388,1409,1032,559,,,,,,,3000
1/3RandomPlayer,10,3,325,315,346,166,275,285,281,161,262,422,203,259,323,1438,747,815,,,,,,,3000
1/6RandomPlayer,10,3,328,320,290,196,151,266,271,186,245,462,195,306,347,1358,847,795,,,,,,,3000
1/12RandomPlayer,10,3,343,328,175,140,191,331,239,140,213,431,120,271,329,1178,895,927,,,,,,,3000
3DoublesPlayer,10,3,415,420,289,227,239,359,268,235,344,424,254,395,421,1719,852,429,,,,,,,3000
7DoublesPlayer,10,3,469,486,40,38,29,294,158,38,152,314,40,336,473,786,1295,919,,,,,,,3000
AdversarialLeader,10,3,464,489,230,183,198,436,292,210,337,465,218,310,467,1507,1285,208,,,,,,,3000
1/2PlayersPlayer,10,3,513,356,150,156,154,426,299,193,295,474,164,489,452,1231,1659,110,,,,,,,3000
OpTwoPlayer,10,4,760,888,214,226,211,683,437,240,475,910,203,765,938,916,1404,1394,286,,,,,,4000
LastBankingPlayer,10,4,938,889,232,232,212,687,418,291,483,937,230,736,684,970,1329,1401,300,,,,,,4000
200PotPlayer,10,4,803,726,653,579,599,546,614,744,506,884,507,735,736,1950,1091,600,359,,,,,,4000
1000PotPlayer,10,4,894,771,385,437,374,610,500,436,538,867,404,726,870,1633,1050,813,504,,,,,,4000
7RollsPlayer,10,4,723,611,680,541,570,595,563,395,501,872,668,618,747,1753,1062,701,484,,,,,,4000
14RollsPlayer,10,4,756,739,472,393,399,651,706,398,527,871,412,602,745,1479,1227,780,514,,,,,,4000
1/3RandomPlayer,10,4,704,542,641,349,559,502,549,356,431,912,388,646,728,1526,1011,707,756,,,,,,4000
1/6RandomPlayer,10,4,710,579,598,377,348,607,508,321,477,863,378,621,752,1383,1099,792,726,,,,,,4000
1/12RandomPlayer,10,4,772,541,346,304,346,618,510,284,408,862,255,594,743,1137,1141,890,832,,,,,,4000
3DoublesPlayer,10,4,832,757,552,503,483,642,557,490,670,842,478,750,902,1846,1114,692,348,,,,,,4000
7DoublesPlayer,10,4,934,632,92,60,81,601,273,105,304,650,82,677,966,701,1081,1192,1026,,,,,,4000
AdversarialLeader,10,4,935,856,393,306,313,767,500,359,574,915,301,644,878,1212,1524,1057,207,,,,,,4000
1/2PlayersPlayer,10,4,873,648,468,402,443,808,645,571,700,877,450,847,885,1261,2161,512,66,,,,,,4000
OpTwoPlayer,10,5,1262,1460,257,268,250,1062,544,333,642,1443,262,1202,1587,671,1061,1697,1311,260,,,,,5000
LastBankingPlayer,10,5,1587,1515,264,263,239,1114,594,287,689,1512,271,1231,1324,714,1084,1775,1232,195,,,,,5000
200PotPlayer,10,5,1297,1165,1180,976,975,923,1000,1202,900,1475,931,1256,1336,2075,1381,838,497,209,,,,,5000
1000PotPlayer,10,5,1501,1359,623,682,587,1278,795,730,929,1441,669,1144,1490,1742,1083,1163,685,327,,,,,5000
7RollsPlayer,10,5,1292,1126,1073,940,992,969,852,691,754,1453,1160,1169,1292,1919,1269,834,612,366,,,,,5000
14RollsPlayer,10,5,1421,1335,784,702,648,1038,1260,566,899,1471,626,1192,1376,1592,1364,1116,626,302,,,,,5000
1/3RandomPlayer,10,5,1305,1036,1082,631,920,875,904,609,797,1491,672,1084,1220,1611,1262,867,662,598,,,,,5000
1/6RandomPlayer,10,5,1386,1061,998,646,634,933,892,558,809,1456,618,1152,1288,1461,1369,936,608,626,,,,,5000
1/12RandomPlayer,10,5,1320,1110,629,492,555,1034,792,464,743,1480,423,1103,1348,1072,1395,1135,750,648,,,,,5000
3DoublesPlayer,10,5,1467,1317,864,761,763,1106,910,792,1284,1445,736,1261,1464,1903,1358,985,514,240,,,,,5000
7DoublesPlayer,10,5,1494,1267,152,119,116,968,467,184,485,1222,118,1067,1583,521,971,1555,1135,818,,,,,5000
AdversarialLeader,10,5,1551,1358,483,417,434,1163,765,467,788,1492,431,1005,1543,930,1284,1697,931,158,,,,,5000
1/2PlayersPlayer,10,5,1461,1378,502,505,509,1275,954,617,941,1478,572,1249,1483,976,1447,2144,391,42,,,,,5000
OpTwoPlayer,10,6,1872,1699,302,282,276,1572,783,378,869,2232,280,1752,2402,532,761,1611,1328,1506,262,,,,6000
LastBankingPlayer,10,6,2402,1632,275,233,245,1555,750,315,896,2267,251,1742,1918,485,769,1585,1304,1617,240,,,,6000
200PotPlayer,10,6,2052,1694,1638,1452,1512,1353,1469,1920,1406,2220,1347,1998,2119,2287,1449,1095,644,376,149,,,,6000
1000PotPlayer,10,6,2260,1822,867,958,936,2122,1231,1089,1458,2174,1012,1759,2230,1841,1074,1362,845,641,237,,,,6000
7RollsPlayer,10,6,2129,1503,1636,1287,1382,1402,1355,993,1219,2155,1968,1838,2073,1989,1456,1046,765,503,241,,,,6000
14RollsPlayer,10,6,2102,1725,1179,1016,1059,1654,1850,943,1409,2190,986,1715,2107,1593,1435,1321,871,525,255,,,,6000
1/3RandomPlayer,10,6,2116,1319,1634,975,1302,1310,1365,862,1153,2213,1000,1846,2148,1614,1388,1087,913,534,464,,,,6000
1/6RandomPlayer,10,6,2030,1413,1441,1036,935,1395,1355,798,1207,2163,965,1862,2130,1415,1436,1154,950,549,496,,,,6000
1/12RandomPlayer,10,6,2102,1408,992,754,823,1447,1274,710,1122,2189,683,1674,2124,1100,1305,1261,1066,667,601,,,,6000
3DoublesPlayer,10,6,2167,1785,1276,1193,1144,1708,1360,1123,1820,2182,1118,1956,2239,1908,1438,1260,772,455,167,,,,6000
7DoublesPlayer,10,6,2336,1512,168,161,190,1496,725,290,817,1932,162,1651,2356,516,768,1473,1179,1367,697,,,,6000
AdversarialLeader,10,6,2302,1765,662,508,580,1597,1033,618,1103,2181,465,1618,2272,767,1035,1657,1348,1062,131,,,,6000
1/2PlayersPlayer,10,6,2168,2062,1076,943,957,1866,1550,1130,1582,2211,1030,1948,2178,1168,1523,2408,680,185,36,,,,6000
OpTwoPlayer,10,7,2870,2682,297,268,293,2045,1070,388,1112,3015,262,2474,3267,411,577,1281,1875,1282,1379,195,,,7000
